material,horizon,candidate,fold,order,seasonal_order,sMAPE
4,10,arima_011,20,"(0, 1, 1)","(0, 0, 0, 0)",0.1481279964481606
4,10,arima_011,21,"(0, 1, 1)","(0, 0, 0, 0)",0.21982570155620007
4,10,arima_011,22,"(0, 1, 1)","(0, 0, 0, 0)",0.16604146880423248
4,10,arima_011,23,"(0, 1, 1)","(0, 0, 0, 0)",0.12447385647102707
4,10,arima_011,24,"(0, 1, 1)","(0, 0, 0, 0)",0.1372335468621981
4,10,arima_011,25,"(0, 1, 1)","(0, 0, 0, 0)",0.16389291982621249
4,10,arima_011,26,"(0, 1, 1)","(0, 0, 0, 0)",0.13734051277212705
4,10,arima_011,27,"(0, 1, 1)","(0, 0, 0, 0)",0.5865595148556456
4,10,arima_012,1,"(0, 1, 2)","(0, 0, 0, 0)",0.14071235378052238
4,10,arima_012,2,"(0, 1, 2)","(0, 0, 0, 0)",0.14065035156814792
4,10,arima_012,3,"(0, 1, 2)","(0, 0, 0, 0)",0.10707208537015521
4,10,arima_012,4,"(0, 1, 2)","(0, 0, 0, 0)",0.15225203603868082
4,10,arima_012,5,"(0, 1, 2)","(0, 0, 0, 0)",0.13390682408407056
4,10,arima_012,6,"(0, 1, 2)","(0, 0, 0, 0)",0.08555457789296328
4,10,arima_012,7,"(0, 1, 2)","(0, 0, 0, 0)",0.18674521642410627
4,10,arima_012,8,"(0, 1, 2)","(0, 0, 0, 0)",0.1066738549023109
4,10,arima_012,9,"(0, 1, 2)","(0, 0, 0, 0)",0.2989315649347702
4,10,arima_012,10,"(0, 1, 2)","(0, 0, 0, 0)",0.1949489439681944
4,10,arima_012,11,"(0, 1, 2)","(0, 0, 0, 0)",0.1946772005710599
4,10,arima_012,12,"(0, 1, 2)","(0, 0, 0, 0)",0.08485182255205864
4,10,arima_012,13,"(0, 1, 2)","(0, 0, 0, 0)",0.07797239482057511
4,10,arima_012,14,"(0, 1, 2)","(0, 0, 0, 0)",0.09750281704575925
4,10,arima_012,15,"(0, 1, 2)","(0, 0, 0, 0)",0.10044885370006434
4,10,arima_012,16,"(0, 1, 2)","(0, 0, 0, 0)",0.11594201896797385
4,10,arima_012,17,"(0, 1, 2)","(0, 0, 0, 0)",0.23169006536873626
4,10,arima_012,18,"(0, 1, 2)","(0, 0, 0, 0)",0.12222044124130145
4,10,arima_012,19,"(0, 1, 2)","(0, 0, 0, 0)",0.11294607846160432
4,10,arima_012,20,"(0, 1, 2)","(0, 0, 0, 0)",0.14830351339148393
4,10,arima_012,21,"(0, 1, 2)","(0, 0, 0, 0)",0.22230603564311055
4,10,arima_012,22,"(0, 1, 2)","(0, 0, 0, 0)",0.16043464882588931
4,10,arima_012,23,"(0, 1, 2)","(0, 0, 0, 0)",0.12338027958327685
4,10,arima_012,24,"(0, 1, 2)","(0, 0, 0, 0)",0.1383113713823322
4,10,arima_012,25,"(0, 1, 2)","(0, 0, 0, 0)",0.1646196273019288
4,10,arima_012,26,"(0, 1, 2)","(0, 0, 0, 0)",0.14146146498734444
4,10,arima_012,27,"(0, 1, 2)","(0, 0, 0, 0)",0.5890578269018508
